"",,,,,,,3WAY,,DOUBLE CHANCE,1ST HALF 1X2,GG/NG
DATE,TIME,GAME ID,,MATCH,,,,,,,
"",,,,,,1,X,2,1X 12 X2,1 X 2,Yes No
03/08/2020,17:12,48745,PARIS SAINT-GERMAIN (CHELLOVEKK),vs,SSC NAPOLI (FEARGGWP),3.15,2.50,2.75,1.39 1.46 1.32,- - -,- -
03/08/2020,17:12,83599,FC BAYERN MUNICH (BLACKSTAR98),vs,REAL MADRID (SANE4EK8),2.20,2.95,3.40,1.28 1.35 1.56,- - -,- -
03/08/2020,17:20,85685,GAMBIT ESPORTS,vs,NFC NYANCAT FC,2.40,3.90,2.50,1.48 1.24 1.51,- - -,- -
03/08/2020,17:22,89516,FC GIRONDINS BORDEAUX (STDM),vs,OGC NICE (SPURSMAX),2.40,4.50,2.40,1.54 1.22 1.54,- - -,- -
03/08/2020,17:22,94240,PARIS SAINT GERMAIN (UNKNOWN),vs,LOSC LILLE (SPECIALIST),2.20,4.00,2.75,1.43 1.25 1.62,- - -,- -
03/08/2020,17:22,65353,OLYMPIQUE LYONNAIS (AVENTON),vs,AS MONACO FC (SIMA),2.10,4.20,2.95,1.39 1.24 1.69,- - -,- -
03/08/2020,17:22,88470,MONTPELLIER HSC (BOBBY),vs,AS SAINT-ETIENNE (OLOM),5.60,5.20,1.46,2.50 1.17 1.15,- - -,- -
03/08/2020,17:24,82165,REAL MADRID (SANE4EK8),vs,PARIS SAINT-GERMAIN (CHELLOVEKK),3.20,2.50,2.70,1.40 1.46 1.31,- - -,- -
03/08/2020,17:30,217697,BAYER 04 LEVERKUSEN (OLLE),vs,MANCHESTER UNITED FC (DM1TRENA),2.55,2.85,3.00,1.35 1.38 1.45,- - -,- -
03/08/2020,17:30,52899,CF VALENCIA (TAKA),vs,AJAX AMSTERDAM (INQUISITOR),2.30,2.55,3.90,1.24 1.44 1.52,- - -,- -
03/08/2020,17:36,59674,PARIS SAINT-GERMAIN (CHELLOVEKK),vs,FC BAYERN MUNICH (BLACKSTAR98),3.60,2.95,2.15,1.59 1.35 1.27,- - -,- -
03/08/2020,17:45,38473,PSG SHEMYAKIN ONZE,vs,VEG VEGA SQUADRON,3.50,4.33,1.82,1.87 1.21 1.28,- - -,- -
03/08/2020,17:48,78278,REAL MADRID (SANE4EK8),vs,SSC NAPOLI (FEARGGWP),3.00,2.70,2.65,1.42 1.40 1.35,- - -,- -
03/08/2020,18:00,92866,JELGAVA,vs,METTA,2.38,3.10,2.95,1.35 1.32 1.51,3.10 2.01 3.70,1.85 1.78
03/08/2020,18:00,70662,SPARTAKS,vs,RFS,4.40,4.20,1.64,2.04 1.20 1.19,4.40 2.60 2.09,1.45 2.44
03/08/2020,18:00,20550,BFC DAUGAVPILS,vs,TUKUMS 2000,1.48,4.20,6.00,1.12 1.19 2.31,1.98 2.41 5.80,1.78 1.86
03/08/2020,18:00,22895,AL WEHDAT,vs,AL SALT,1.32,4.33,9.00,1.06 1.15 2.55,1.85 2.26 8.60,2.39 1.45
03/08/2020,18:00,39713,AGROBIZNES VOLOCHISK,vs,MYKOLAIV,1.44,4.20,5.80,1.11 1.17 2.24,1.95 2.40 5.80,1.75 1.85
03/08/2020,18:00,93672,MFC METALURH ZAPORIZHYA,vs,PRYKARPATTYA,2.80,3.50,2.15,1.53 1.25 1.34,3.35 2.31 2.70,1.48 2.29
